id_tratta;prezzo;durata(mm);frequenza;footprint [kg]
AMS-BRU;140,86 €;139;22;84,6
AMS-DUS;154,15 €;106;20;93,2
AMS-FRA;123,31 €;67;13;133,9
AMS-HAM;63,29 €;67;7;138,1
AMS-LON;58,06 €;75;18;124,7
AMS-PAR;55,10 €;81;10;97,3
BCN-MAD;34,50 €;86;14;114,9
BEG-VIE;61,00 €;82;3;69,7
BER-FRA;118,00 €;70;6;133,8
BER-MUC;164,50 €;70;6;113,5
BER-PAR;58,60 €;110;5;141,4
BER-WAW;81,00 €;85;2;111,5
BLQ-MIL;251,00 €;143;4;115,3
BLQ-ROM;82,67 €;60;3;117,4
BLQ-VCE;240,00 €;120;2;31,3
BOD-GVA;28,00 €;80;2;116,9
BOD-LYS;63,15 €;70;7;110,6
BOD-NCE;31,25 €;80;8;118,3
BRU-AMS;117,27 €;140;22;84,6
BRU-DUS;115,00 €;143;23;100,2
BRU-FRA;96,25 €;60;4;114,6
BRU-HAM;69,00 €;75;2;115
BRU-LON;73,20 €;77;7;118,4
BRU-PAR;229,23 €;152;13;122,1
BUD-PRG;10,00 €;75;3;112,5
BUD-WAW;95,00 €;80;8;115,3
DUS-AMS;117,50 €;73;8;93,2
DUS-BRU;131,00 €;150;7;33,1
DUS-FRA;145,14 €;110;14;96,5
DUS-HAM;88,67 €;60;3;125,8
EDI-LON;82,26 €;94;23;115,5
FRA-AMS;91,43 €;75;7;113,3
FRA-BER;88,38 €;70;8;133,8
FRA-BRU;91,66 €;60;6;114,6
FRA-DUS;76,00 €;50;2;96,5
FRA-MUC;160,43 €;55;7;114,3
FRA-PAR;61,71 €;81;7;108,3
FRA-PRG;95,67 €;60;3;99,7
FRA-STR;76,00 €;40;2;85
FRA-ZRH;343,60 €;55;5;108,7
GVA-BOD;32,00 €;75;6;116,9
GVA-NCE;33,75 €;64;8;112
GVA-PAR;71,00 €;73;7;95,9
GVA-ROM;51,00 €;90;1;130,9
GVA-VIE;86,67 €;100;3;147,6
HAM-AMS;79,00 €;66;6;138,1
HAM-BRU;95,30 €;70;3;115
HAM-DUS;74,75 €;60;4;125,8
LON-AMS;55,00 €;70;11;124,7
LON-BRU;72,50 €;70;6;118,4
LON-EDI;61,05 €;82;19;115,5
LON-MAN;63,00 €;64;4;126
LON-PAR;73,44 €;82;9;122,2
LYS-BOD;79,00 €;69;7;110,6
LYS-NCE;93,00 €;55;2;107,5
LYS-PAR;68,00 €;73;4;95,2
LYS-TLS;100,57 €;61;14;136
LYS-ZRH;178,00 €;65;2;121
MAD-BCN;77,24 €;80;29;114,9
MAD-SVQ;55,50 €;70;6;95,8
MAD-VLC;54,20 €;63;5;106,9
MAN-LON;70,50 €;69;4;126
MIL-BLQ;252,50 €;165;13;115,3
MIL-MUC;86,33 €;70;6;140
MIL-NAP;24,64 €;80;11;118,9
MIL-PAR;118,22 €;91;18;117,3
MIL-PRG;13,67 €;78;3;126,4
MIL-ROM;61,00 €;70;8;113
MIL-TRN;249,00 €;118;16;28,8
MIL-VIE;32,00 €;84;9;84,7
MIL-ZRH;82,00 €;65;1;102,4
MUC-BER;101,33 €;65;6;113,5
MUC-FRA;232,29 €;60;17;114,3
MUC-MIL;86,00 €;65;5;140
MUC-PRG;152,66 €;50;3;103,3
MUC-ROM;79,80 €;91;5;135,5
MUC-STR;130,00 €;82;11;100,7
MUC-VCE;145,50 €;60;2;120,1
MUC-VIE;204,75 €;65;4;131,6
MUC-ZRH;201,75 €;58;8;127,1
NAP-MIL;22,60 €;80;11;118,9
NAP-ROM;126,00 €;52;3;101,5
NCE-BOD;30,50 €;85;4;118,3
NCE-GVA;33,00 €;60;3;112
NCE-LYS;88,00 €;58;2;107,5
NCE-PAR;53,36 €;91;14;123,8
PAR-AMS;72,00 €;83;10;97,3
PAR-BER;58,80 €;105;5;141,4
PAR-BRU;134,00 €;180;4;122,1
PAR-FRA;69,71 €;78;7;108,3
PAR-GVA;236,20 €;70;5;95,9
PAR-LON;135,30 €;89;10;122,2
PAR-LYS;70,00 €;70;4;95,2
PAR-MIL;64,00 €;87;8;117,3
PAR-NCE;67,89 €;89;18;123,8
PAR-ROM;44,60 €;120;12;104,9
PAR-TRN;91,50 €;85;2;120,7
PRG-BUD;11,00 €;65;1;60
PRG-FRA;134,75 €;70;4;99,7
PRG-MIL;14,33 €;80;3;126,4
PRG-MUC;148,00 €;50;3;103,3
PRG-VIE;119,00 €;55;1;105,8
PRG-WAW;74,00 €;80;5;112
ROM-BLQ;54,00 €;58;2;117,4
ROM-GVA;53,00 €;90;1;105,3
ROM-MIL;61,25 €;70;8;113
ROM-MUC;65,25 €;90;4;135,5
ROM-PAR;61,57 €;131;7;114,4
ROM-TRN;44,00 €;75;3;113,2
ROM-VCE;42,00 €;65;2;100,5
ROM-VIE;28,20 €;98;5;142,6
ROM-ZRH;52,00 €;93;2;127,7
STR-FRA;101,50 €;50;2;85
STR-MUC;96,00 €;100;11;100,7
STR-VIE;106,60 €;75;5;116,4
SVQ-MAD;23,80 €;65;5;95,8
SVQ-VLC;25,80 €;70;5;92,9
TLS-LYS;47,00 €;60;6;136
TRN-MIL;257,00 €;120;11;28,8
TRN-PAR;79,00 €;85;1;120,7
TRN-ROM;41,00 €;75;2;113,2
VCE-BLQ;256,00 €;120;4;31,3
VCE-MUC;159,67 €;60;3;120,1
VCE-ROM;39,00 €;65;2;100,5
VIE-BEG;87,00 €;72;2;69,7
VIE-MIL;24,00 €;85;6;84,7
VIE-MUC;195,00 €;61;4;131,6
VIE-PRG;158,00 €;53;4;105,8
VIE-ROM;51,75 €;93;4;142,6
VIE-STR;98,50 €;78;5;116,4
VIE-WAW;57,20 €;74;5;117,1
VIE-ZAG;146,00 €;55;3;101,4
VIE-ZRH;152,50 €;81;6;126,7
VLC-BCN;35,50 €;65;2;56,8
VLC-MAD;43,86 €;62;7;106,9
VLC-SVQ;27,20 €;72;5;92,9
WAW-BER;89,00 €;90;2;111,5
WAW-BUD;72,00 €;85;4;115,3
WAW-PRG;61,50 €;85;4;112
WAW-VIE;63,00 €;82;6;117,1
ZAG-VIE;191,67 €;55;3;101,4
ZRH-FRA;235,75 €;63;4;108,7
ZRH-LYS;189,00 €;65;1;121
ZRH-MUC;208,25 €;54;4;127,1
ZRH-ROM;71,00 €;90;2;127,7
ZRH-VIE;174,50 €;78;6;126,7
